,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
Klhl11,896,1021,783,734,796,644,846,1252,864
Klhl12,809,824,725,785,675,671,794,1030,799
Klhl13,65,92,72,1026,978,810,1,2,2
Klhl14,0,0,0,0,0,0,0,0,0
Klhl15,297,329,268,453,493,365,305,368,262
Klhl17,428,388,309,508,515,367,333,437,264
Klhl18,587,626,531,779,687,644,757,1036,759
Klhl2,1781,1856,1608,2060,1863,1931,1883,2459,2380
Klhl20,913,918,828,1101,1096,1171,813,1087,947
Klhl21,4869,5079,5054,3552,2902,3392,3884,6162,4781
Klhl22,1335,1464,1299,1189,1092,1244,1976,2511,1840
Klhl23,1655,1777,1461,1995,1908,1872,1155,1458,1155
Klhl24,431,509,407,1082,1055,933,265,538,306
Klhl25,324,333,313,418,428,377,319,256,323
Klhl26,2151,2089,1880,3949,3466,3116,3467,3548,4653
Klhl28,246,278,195,366,406,318,213,349,242
Klhl29,68,80,51,579,453,397,3,3,4
Klhl3,0,0,2,0,1,5,1,1,2
Klhl30,524,544,383,2482,2246,2840,109,179,88
Klhl31,3,2,3,7,7,2,2,2,1
Klhl32,8,7,6,16,14,12,7,9,5
Klhl33,15,10,9,24,11,8,13,20,13
Klhl34,0,0,0,0,0,0,0,0,0
Klhl35,0,0,0,0,0,0,3,0,0
Klhl36,15,17,27,75,62,45,21,35,20
Klhl38,2,0,0,0,0,0,0,1,1
Klhl4,0,0,0,0,0,0,0,0,0
Klhl40,0,0,0,17,29,15,0,1,1
Klhl41,3,6,3,9,25,13,15,12,16
Klhl42,679,701,662,837,725,697,864,906,725
Klhl5,1053,1160,1172,1486,1446,1548,1709,2134,2050
Klhl6,0,0,0,0,0,0,0,0,1
Klhl7,1399,1519,1199,1100,1096,1057,1076,1665,1147
Klhl8,62,55,43,142,125,121,79,93,95
Klhl9,2020,1967,1877,1933,2036,2070,1563,2404,1729
Klk1,0,0,0,0,0,0,0,0,0
Klk10,22,26,20,19,17,45,93,108,114
Klk11,0,0,0,0,0,0,0,0,0
Klk12,0,0,0,0,0,0,0,1,0
Klk13,0,0,0,0,1,0,0,0,0
Klk14,0,2,0,2,2,0,0,1,0
Klk15,0,0,0,0,0,0,0,0,0
Klk1b1,0,0,0,0,0,0,0,0,0
Klk1b11,0,0,0,0,0,1,0,0,0
Klk1b16,0,0,0,0,0,0,0,0,0
Klk1b21,0,0,0,0,0,0,0,0,0
Klk1b22,1,0,2,3,3,2,0,0,0
Klk1b24,0,0,0,0,0,0,0,0,0
Klk1b26,0,0,0,0,0,0,0,0,0
Klk1b27,0,0,0,0,0,0,0,0,0
Klk1b3,0,0,0,0,0,0,0,0,0
Klk1b4,0,0,0,0,0,0,0,0,0
Klk1b5,0,0,0,0,0,0,0,0,0
Klk1b7-ps,0,0,0,0,0,0,0,0,0
Klk1b8,0,0,0,0,0,0,0,0,0
Klk1b9,0,0,0,0,0,0,0,0,0
Klk4,0,0,1,0,0,0,0,0,0
Klk5,0,1,0,0,0,0,1,0,0
Klk6,1,0,0,2,2,5,29,29,36
Klk7,0,1,1,0,0,0,0,0,3
Klk8,43,47,46,17,15,10,63,62,88
Klk9,2,4,4,1,0,2,3,5,2
Klkb1,0,1,1,2,2,2,2,1,1
Klra1,26,24,19,4,5,9,5,9,10
Klra10,0,0,0,0,0,0,0,0,0
Klra12,8,6,8,1,0,1,2,2,1
Klra13-ps,0,0,0,0,0,0,0,0,0
Klra14-ps,0,0,0,0,0,0,0,0,0
Klra15,12,12,16,1,0,1,4,3,3
Klra16,0,1,0,0,0,0,0,0,0
Klra17,32,43,22,5,9,5,10,12,11
Klra18,273,250,275,67,67,60,116,122,112
Klra19,3,1,2,2,0,0,0,0,0
Klra2,12,5,9,4,2,1,25,32,32
Klra20,3,2,6,0,1,0,1,2,1
Klra21,0,0,0,0,0,0,3,0,0
Klra22,40,31,36,6,10,11,10,12,17
Klra23,9,14,14,1,2,1,5,5,2
Klra3,1,1,1,0,3,2,1,0,3
Klra4,121,134,133,25,31,20,60,49,56
Klra5,6,18,14,3,5,15,7,5,6
Klra6,0,6,4,3,1,1,0,0,1
Klra7,0,2,0,0,2,0,1,0,1
Klra8,0,0,0,0,0,0,0,0,0
Klra9,1,2,1,2,1,2,0,0,0
Klrb1,0,0,0,0,0,0,0,0,0
Klrb1-ps1,0,0,0,0,0,0,0,0,0
Klrb1a,2,0,0,12,13,14,2,1,2
Klrb1b,0,0,0,3,2,3,0,0,0
Klrb1c,0,0,0,6,4,4,1,0,0
Klrb1f,0,0,0,0,0,0,0,0,0
Klrc1,0,1,0,0,0,0,0,0,0
Klrc2,0,0,0,0,0,0,0,0,0
Klrc3,0,0,0,0,0,0,0,0,0
Klrd1,0,0,0,0,0,1,0,2,0
Klre1,1,0,1,0,0,0,2,1,2
Klrg1,0,0,0,0,0,0,1,0,0
Klrg2,416,482,440,257,230,216,350,494,326
Klri1,0,0,0,0,0,0,0,0,0
Klri2,0,3,2,2,1,3,1,2,1
Klrk1,0,0,0,1,0,0,0,0,0
Kmo,0,0,0,0,0,1,0,0,1
Kmt2a,5894,5891,4571,6381,5910,4685,4898,5904,4008
Kmt2b,3151,3052,2353,2791,2397,2369,2956,3163,2575
Kmt2c,1214,1237,997,1642,1725,1281,1033,1569,1050
Kmt2d,7049,7026,5671,4454,3826,3377,7023,9778,5123
Kmt2e,2989,3016,2623,3590,3445,3060,3536,4666,3397
Kmt5a,7162,7244,6692,6209,5409,6327,6901,7840,6839
Kmt5b,1145,1290,974,1342,1199,1121,1166,1516,1166
Kmt5c,169,157,140,199,171,157,129,185,96
Kncn,0,0,0,0,0,0,2,1,0
Kndc1,0,0,0,0,0,0,0,0,0
Kng1,1,0,0,0,1,0,5,6,7
Kng2,1,0,0,1,2,1,7,9,9
Knl1,1707,1935,1448,1754,1851,1866,1929,3189,1694
